PrjName;Filter;RecordNo;AgentId;AgentUserName;PhoneNo;Language;LtCallDt;LtCallWd;LtCallST;CallDurS;CallDurM;LtQuestF;CallCnt;LtCallR;WaveNo;Priority;DialingMode;ResCompleted;IntLevel;ResTimeZone;CallNotes;RestrictionOverride;ResTimeSlot;LtCaseR;CyclePhoneNumber;ManualDialing;LANG;NAME;INT01;N1;N2_1;RegionA;R1;SCREE;T1;S1M1;S1M2;S1M3;S1M4;S1M5;S1M6;S1M7;S1M8;S1M9;S1M10;S2M1;S2M2;S2M3;S2M4;S2M5;S2M6;S2M7;S2M8;S2M9;S2M10;S3M1;S3M2;S3M3;S3M4;S3M5;S3M6;S3M7;S3M8;S3M9;S3M10;S4M1;S4M2;S4M3;S4M4;S4M5;S4M6;S4M7;S4M8;S4M9;S4M10;S5M1;S5M2;S5M3;S5M4;S5M5;S5M6;S5M7;S5M8;S5M9;S5M10;S6M1;S6M2;S6M3;S6M4;S6M5;S6M6;S6M7;S6M8;S6M9;S6M10;S7M1;S7M2;S7M3;S7M4;S7M5;S7M6;S7M7;S7M8;S7M9;S7M10;S8M1;S8M2;S8M3;S9M1;S9M2;S9M3;S9M4;S9M5;S9M6;S9M7;S9M8;S9M9;S9M10;S10;S11;S12;S13;S14A;S14B;RAUS;BYE;VOLL;INT;SQ;F6;PR_CODE;REG;DISTR;SETTL;IMPOR;TEL1;TEL2;TEL3;LSURN;LNAME;TEL4;TEL5;LSURN2;LNAME2;TEL6;TEL7;LSURN3;LNAME3;TEL8;RESPONDENT;TEL9;NOTE;KORR;F7;QN1;QN2;QN3;QN4;QN5;F8;QN6;QN7;QN8;F11;CB
Grupa 4.;1;1136;55;Agent.07;384980749;1;20210729;5;10:30:00;1699;28;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090214;;;148;104;112;108;;;;;;;;101;103;105;106;107;109;;;;;2;;3;1;2;2;3;2;3;;101;102;105;107;108;;;;;;101;102;104;105;107;;;;;;4;4;3;5;2;3;1;2;1;1;4;4;;;5;;5;3;;;107;106;;4;10;1;99;2;99;8;999;8;0;1987;103;104;101;145;145;;99;100;CO;;;818974;;;;;860546958;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1143;61;Agent.11;935866233;1;20210730;6;09:00:00;3420;57;462;2;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090281;;;168;108;101;114;;;;;;;;103;107;110;;;;;;;;2;;1;;;;5;4;;2;103;104;105;109;110;;;;;;101;104;107;;;;;;;;5;4;2;5;4;3;4;4;4;2;;;2;3;5;;;;5;1;110;104;101;6;5;9;5;8;4;9;1;9;7;1992;104;102;101;150;150;;99;100;CO;;;745170;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1145;57;Agent.09;62777254;1;20210729;5;10:35:00;1910;32;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090284;;;91;101;108;;;;;;;;;101;102;108;;;;;;;;3;3;;;;;;3;;;101;102;103;104;105;106;108;;;;101;103;105;108;;;;;;;5;5;3;999;5;1;4;1;3;4;1;4;4;4;3;4;;2;;;110;105;;10;8;5;9;2;9;4;10;9;9;1982;102;104;101;100;100;;99;100;CO;;;304777;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1151;53;Agent.06;647224818;1;20210729;5;14:57:00;1274;21;461;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090290;;;73;999;;;;;;;;;;101;102;103;104;106;107;108;109;;;4;1;4;4;;4;1;3;4;;101;102;103;105;106;108;;;;;101;102;103;104;108;;;;;;5;999;5;4;2;5;1;2;2;1;5;5;5;;4;3;;4;;;101;104;103;6;9;4;4;4;9;2;10;9;10;1981;104;101;101;250;275;;99;100;CO;;;514197;;;;;821958511;;;;;;;;;;;;;;;;;1;;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, maximus;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, ma;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, ma;;;;;;;;2,02E+11
Grupa 4.;1;1154;61;Agent.11;223966240;1;20210811;4;09:13:00;2361;39;462;37;CO;30;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32090305;;;7;101;102;108;104;105;106;107;103;112;;;;;;;;;;;;4;3;3;999;1;3;3;3;;;101;102;103;104;105;106;108;;;;101;106;107;;;;;;;;5;4;2;5;4;5;4;4;3;2;5;2;2;5;5;1;;4;;;109;104;;9;3;5;9;6;99;6;1;6;4;1965;103;103;101;180;180;;99;100;CO;;;735152;;;;;;;;;;;;;;;;;;;;;;1;;vestibulum in laoreet commodo consequat dui. quam sit tortor scelerisque vestibulum In et In eleifend lobortis quam. orci Vi;vestibulum in laoreet commodo consequat dui. quam sit tortor scelerisque vestibulum In et In eleifend lobortis quam. o;;;;;;;;;2,02E+11
Grupa 4.;1;1167;53;Agent.06;72287895;1;20210729;5;10:46:00;1392;23;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090344;;;127;108;102;101;;;;;;;;101;102;103;104;105;106;107;108;;;4;5;4;3;3;2;2;4;;;101;102;104;106;108;;;;;;101;102;103;105;107;108;;;;;3;3;3;1;4;4;5;4;1;5;2;4;;3;;5;;2;;;200;;;5;4;10;3;9;3;4;3;8;2;1992;103;102;101;25;25;;99;100;CO;;;806011;;;;;248388234;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1191;55;Agent.07;382565534;1;20210810;3;16:35:00;1519;25;462;6;CO;5;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090428;;;65;999;;;;;;;;;;101;102;103;104;105;106;107;108;;;2;1;3;3;3;1;4;2;;;101;102;103;104;105;106;108;;;;102;103;104;105;107;;;;;;5;2;1;5;1;5;4;2;2;2;1;4;4;3;1;5;;4;;;107;110;;3;10;4;9;1;7;7;0;6;10;1956;102;101;101;7;7;;99;100;CO;;;619327;;;;;262799622;;;;;;;;;;;;;;;;;1;;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum Vivamus;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum V;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum V;;;;;;;;2,02E+11
Grupa 4.;1;1203;55;Agent.07;289748384;1;20210730;6;09:16:00;1508;25;462;2;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090451;;;100;108;;;;;;;;;;103;106;;;;;;;;;;;4;;;5;;5;;;101;102;105;107;108;109;110;;;;101;102;107;;;;;;;;5;4;1;5;4;4;2;2;2;2;1;5;;;2;;4;2;5;5;105;;;9;5;3;9;9;5;7;4;5;3;1963;103;103;101;180;180;;99;100;CO;;;263628;;;;;;;;;;;;;;;;;;;;;;1;;venenatis est sollicitudin sollicitudin nibh tincidunt. vitae id, Pellentesque vel, dis elit. Lorem Mauris magnis justo vulp;;;;;;;;;;
Grupa 4.;1;1218;55;Agent.07;299736315;1;20210804;4;11:44:00;372;6;462;7;CO;4;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32090454;;;49;111;;;;;;;;;;101;102;103;104;105;107;;;;;2;3;1;2;1;;2;;;;101;102;103;104;106;107;108;;;;101;102;103;106;108;;;;;;1;3;5;4;4;4;1;4;3;4;5;2;2;1;;4;5;5;;;109;103;102;9;0;7;9;7;4;8;2;1;9;1995;104;102;101;41;41;;99;100;CO;;;562696;;;;;;;;;;;;;;;;;;;;;;1;;sed eu libero sapien mi aliquet ornare Praesent nibh, per porttitor erat nec inceptos nascetur Suspendisse Fusce Class Proin;sed eu libero sapien mi aliquet ornare Praesent nibh, per porttitor erat nec inceptos nascetur Suspendisse Fusce Class;;;;;;;;;2,02E+11
Grupa 4.;1;1221;57;Agent.09;351215951;1;20210729;5;14:00:00;1474;25;461;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090459;;;64;999;;;;;;;;;;101;102;103;105;106;107;110;;;;5;3;3;;3;4;3;;;1;101;102;103;104;105;107;108;;;;101;102;103;104;106;107;108;;;;2;5;4;2;2;5;2;3;5;2;3;3;1;4;2;;3;4;;;107;103;;5;9;8;3;7;10;7;10;3;2;1987;103;103;101;18;18;;99;100;CO;;;905155;;;;;;;;;;;;;;;;;;;;;;1;;varius Lorem lectus, dui. magnis ipsum, Integer ornare quam conubia natoque Sed aliquam. gravida lacinia porta mauris dapibu;;;;;;;;;;2,02E+11
